,text,trinary result
0,hey witch wat cha been up too,1
1,"i was thinking... everyone is allways saying that they want racism to end and that all racist should burn in hell or something along that nature yet has anyone stopped to think that maybe people who are racist also want racism to end, they're just acting on there idea's instead of sitting on their a**'s all day. just a thought. i thought it was kind of ironic once i stopped to think about it.its realy kind of funny when you stop to think about it yourself",-1
2,omg my son has the same b-day as you lol,1
3,hey whats up i havent talked to you in like forever,1
4,hey kevin hope u are good and well miss ya dude,1
5,"sup greg....how u been?... how..s the family?.....say hi to everyone for m, pleeez....o yea and can u tell my dee dee dee brother to add me to his friends or to at least pimp his profile up....and tell not to use excuses....thanx ----- ----- ----- lates ese",1
6,my churchland homey waht it do,0
7,"Hey Sis,, Great job on your profile,,Bet you cant wait to be a GGILTF,,,(laughing) Annie told me to say that.",1
8,"yeah, we should totally enter the nag's like that, then we should dance like this!",1
9,so every body knows this page is screwedd up and we cant get on to it so if you are trying to save wait until she gets another page.,1
10,HEY U HAVE TWO FRIENDS!!,1
11,HEY SEXY MAN I WAS JUST MISSING YOU AND WANTED TO SAT HI! CAN'T WAIT TILL FRIDAY TO GET YOU DRUNK AND TAKE ADVANTAGE!!!,1
12,"Hey mom, How are you? We are great. I just thought that I would stop in and say HI... ----- Love ya ----- Gena",1
13,Ya a regret giving my old z up. I just couldnt aford four quads. Of course that oic was taken before the race series. Ater the series it looked like shit!!,1
14,wazz up prima ----- Damn its been a good while that i dont see u ----- well i just want 2 let you know IM STILL HERE ----- and that i miss you and i hope 2 see you soon ----- ----- ? & RESPECT L.A.: DR3AM3ER,1
15,i do indeed hehe!! dnt c her as much as i used to tho cos shes with her new boyfriend aw th time :( a miss her!! lol u stil goin bout wi neil n th missus?? luv yooooooooo xoxoxoxoxox,1
16,ERIC........ ----- Where have you been? I have needed some cousin time!! Call me sometime soon. Not today..I know that it's Ohio State and Michigan today so maybe tomorrow.,1
17,"Congratulations!!! I am so happy for you and you are going to be an amazing dad!! Can you believe it, Daddy... Wow.. Please tell her mom congratulations too. ----- She is beautiful, ----- Amy",1
18,"Hey gurlie, Just wanted 2 stop by and say HI how have u been? ----- Lisa (d's girl)",1
19,"wut the hell you doin online at 3 am? O yea man isnt your bday today? Or was it a few days ago? or like a week ago. fuck it, what am I talkin about, im lost.",-1
20,Prayers going out to all the soldiers today. May God keep you all safe over there.,1
21,Sup Vinson,1
22,I've been going to school and working my butt off. I am glad to know that you are doing ok. Much Luv! ----- ~Swee' Pea~,1
23,hey hey its will from school. ----- ----- Hows? uni hope ur enjoyin it 6th forms pretty cool but can't wait to go to uni if i go!!!! ----- ----- much love,1
24,sorry. lol. It'll be okay,-1
25,HEY!!!!!!!!! Ive been trying to get ahold of you.......so what's new?!,1
26,hey boo boo thanks for add me. ----- wot it the USA like?,1
27,HEY GIRL!!! I HAVE NOT SEEN YOU IN ALONG TIME. HOW ARE YOU AND THE BABY.COME SEE ME I LIVE IN TOWN..,1
28,Happy Birthday Chris...now go get trashed!,-1
29,i'll try if i can get a sitter.I'll let u know,0
30,Why thank you Hans!,1
31,dnt b a hater cuz we need some dick! and the toys aint wk n!!!,-1
32,im goin 2 christopher friday. ----- ----- to the game && stuf. ----- ----- talk to me. ----- ----- ----- ----- ?,0
33,hi tim! been to the shit co (AKA the fish co) recently??? ahh the good drunk nights at fish co.... how can you go wrong?? haha.... ----- ~R,-1
34,wow the space is actually looking like a space lol! how many girls you got harrassing you about your muscles! lol dork!,-1
35,just dropping in to say hello.,0
36,Hey Craig how are things going there in Texas I herd that you want to move here to Arizona tell Shana we said hi to her,1
37,Happy Holidays! Hope U have a great New Year as well!!!,1
38,yeaaaaaaaaah me edga baby here how the hell ya been...we do gaaabage soooonnsss,-1
39,Love your pics! ----- Thanks for the add!! ----- :),1
40,imhouwant4life89,0
41,I just stopped to say say I LOVE YOU!!!!,1
42,you should watch us play on the 26th if your still in town. we play a team from north carolina,0
43,HOW U BEEN U NASTY BOY LOL,-1
44,HOOTERS. HAHA.,1
45,wat it do baby boo lmao hey man where have u been?,1
46,hey HONEY what the hell you been doin...i aint seen you in a min...where the hell you been....so what you doin this weekend...DAM i see you all in LOVE and shyt when did this happen you just dont let me know SHYT NO MORE do you...NOW when we was in PARKSIDE yo ass couldnt wait to tell me shyt i see how you doin it... but do you boo...well my nigga get at me***keshia***,-1
47,What's up with that boy Carson?,1
48,"NEXT TIME I SEE YOU IM WHOOPIN' YOUR COUNTRY ASS, HILLBILLY!",1
49,i heart u too,0
50,lol yea ill be there go on hol 4days later cant wait! x,1
51,What it do man........holla at ya boy!,1
52,HIIII ----- i love you ----- BOTHHHH ----- MUCHOO.,1
53,Things are good thanx - wow emma blast from the past!,1
54,"Um, thanks for the add. Want to tell me a little more about yourself?",1
55,"Not yet, Charlie wont be done with her solo ensamble in time to go with us and she said she has a responsibility to her choir team to be there, and not at the race... I'm so proud... anyway, her friend, Stephanie's mom said she can probably just pick her up with Stephanie and let her stay the weekend and go to school with her... she rides the same bus so it would be conveint... she said she had to check a few things out on her schedual but would get back in touch with me soon... I'll keep ya updated, its still a month away... a lot can change...",1
56,hey thats awesome congratulations where are you getting married at? oh and im really sorry to tell u this but i lost your phone number again so could u please give it to me again?,1
57,yeayea! you too jundo! =],1
58,Josh whats up my home skillet haha:) To set up a myspae background you need to set up pics on photoshop and then shift them into a code. Then use a myspace layout to make a background.,1
