ID,Text,trinary result,source
1,                     is so sad for my APL friend.............,-1,Twiiter_dataSet_Sentiment140
2,                   I missed the New Moon trailer...,-1,Twiiter_dataSet_Sentiment140
3,              omg its already 7:30 :O,-1,Twiiter_dataSet_Sentiment140
4,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,-1,Twiiter_dataSet_Sentiment140
5,         i think mi bf is cheating on me!!!       T_T,-1,Twiiter_dataSet_Sentiment140
6,         or i just worry too much?        ,-1,Twiiter_dataSet_Sentiment140
7,       Juuuuuuuuuuuuuuuuussssst Chillin!!,1,Twiiter_dataSet_Sentiment140
8,       Sunny Again        Work Tomorrow  :-|       TV Tonight,-1,Twiiter_dataSet_Sentiment140
9,      handed in my uniform today . i miss you already,-1,Twiiter_dataSet_Sentiment140
10,      hmmmm.... i wonder how she my number @-),1,Twiiter_dataSet_Sentiment140
11,      I must think about positive..,1,Twiiter_dataSet_Sentiment140
12,      thanks to all the haters up in my face all day! 112-102,-1,Twiiter_dataSet_Sentiment140
13,      this weekend has sucked so far,-1,Twiiter_dataSet_Sentiment140
14,     jb isnt showing in australia any more!,1,Twiiter_dataSet_Sentiment140
15,     ok thats it you win.,0,Twiiter_dataSet_Sentiment140
16,    &lt;-------- This is the way i feel right now...,0,Twiiter_dataSet_Sentiment140
17,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",-1,Twiiter_dataSet_Sentiment140
18,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,1,Twiiter_dataSet_Sentiment140
19,    HUGE roll of thunder just now...SO scary!!!!,-1,Twiiter_dataSet_Sentiment140
20,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,1,Twiiter_dataSet_Sentiment140
21,    Very sad about Iran.,-1,Twiiter_dataSet_Sentiment140
22,    wompppp wompp,1,Twiiter_dataSet_Sentiment140
23,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,1,Twiiter_dataSet_Sentiment140
24,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,0,Twiiter_dataSet_Sentiment140
25,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,1,Twiiter_dataSet_Sentiment140
26,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,-1,Twiiter_dataSet_Sentiment140
27,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,-1,Twiiter_dataSet_Sentiment140
28,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",-1,Twiiter_dataSet_Sentiment140
29,"   goodbye exams, HELLO ALCOHOL TONIGHT ",0,Twiiter_dataSet_Sentiment140
30,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,1,Twiiter_dataSet_Sentiment140
31,   I hate it when any athlete appears to tear an ACL on live television.,-1,Twiiter_dataSet_Sentiment140
32,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,-1,Twiiter_dataSet_Sentiment140
33,  -- Meet your Meat http://bit.ly/15SSCI,0,Twiiter_dataSet_Sentiment140
34,   My horsie is moving on Saturday morning.,0,Twiiter_dataSet_Sentiment140
35,   No Sat off...Need to work 6 days a week ,0,Twiiter_dataSet_Sentiment140
36,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,0,Twiiter_dataSet_Sentiment140
37,"   SOX!     Floyd was great, but relievers need a scolding!",1,Twiiter_dataSet_Sentiment140
38,   times by like a million,1,Twiiter_dataSet_Sentiment140
39,   uploading pictures on friendster ,1,Twiiter_dataSet_Sentiment140
40,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,-1,Twiiter_dataSet_Sentiment140
41,  &amp;&amp;Fightiin Wiit The Babes...,0,Twiiter_dataSet_Sentiment140
42,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7,1,Twiiter_dataSet_Sentiment140
43,  *enough said*,0,Twiiter_dataSet_Sentiment140
44,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    ",1,Twiiter_dataSet_Sentiment140
45,  ... health class (what a joke!),1,Twiiter_dataSet_Sentiment140
46,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT,1,Twiiter_dataSet_Sentiment140
47,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,-1,Twiiter_dataSet_Sentiment140
48, - All Time Low shall be my motivation for the rest of the week.,0,Twiiter_dataSet_Sentiment140
49,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",-1,Twiiter_dataSet_Sentiment140
50,  another year of Lakers .. That's neither magic nor fun ...,1,Twiiter_dataSet_Sentiment140
51,  baddest day eveer. ,0,Twiiter_dataSet_Sentiment140
52,  bathroom is clean..... now on to more enjoyable tasks......,1,Twiiter_dataSet_Sentiment140
53,  boom boom pow,0,Twiiter_dataSet_Sentiment140
54,  but i'm proud.,1,Twiiter_dataSet_Sentiment140
55,  congrats to helio though,0,Twiiter_dataSet_Sentiment140
56,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,0,Twiiter_dataSet_Sentiment140
57,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,1,Twiiter_dataSet_Sentiment140
58,  go give ur mom a hug right now. http://bit.ly/azFwv,1,Twiiter_dataSet_Sentiment140
59,  Going To See Harry Sunday Happiness ,0,Twiiter_dataSet_Sentiment140
60,  Hand quilting it is then...,0,Twiiter_dataSet_Sentiment140
61,  hate u ...  leysh t9ar5 ... =((((((( ..,-1,Twiiter_dataSet_Sentiment140
62,#NAME?,0,Twiiter_dataSet_Sentiment140
63,  I bend backwards  ,0,Twiiter_dataSet_Sentiment140
64,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!,1,Twiiter_dataSet_Sentiment140
65,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...,-1,Twiiter_dataSet_Sentiment140
66, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us,-1,Twiiter_dataSet_Sentiment140
67,  I miss Earl,-1,Twiiter_dataSet_Sentiment140
68,  I miss New Jersey,-1,Twiiter_dataSet_Sentiment140
69,"  I missed the first hour of SYTYCD last night, and I can't find it online!",-1,Twiiter_dataSet_Sentiment140
70,  I need a U2 fix NOW!,1,Twiiter_dataSet_Sentiment140
71,  I never thought I'd become second choice...,0,Twiiter_dataSet_Sentiment140
